num,type,d_le,a_le,gender,a1_r1,a1_r2,a1_r3,a1_r4,a1_r5,a1_r6,a1_r7,a1_r8,a1_r9,a1_r10,a1_r11,a1_r12,a1_r13,a1_r14,a1_r15,a1_r16,a1_r17,a1_r18,a1_r19,a1_r20,a1_r21,a1_r22,a1_r23,a1_r24,a2_r1,a2_r2,a2_r3,a2_r4,a2_r5,a2_r6,a2_r7,a2_r8,a2_r9,a2_r10,a2_r11,a2_r12,a2_r13,a2_r14,a2_r15,a2_r16,a2_r17,a2_r18,a2_r19,a2_r20,a2_r21,a2_r22,a2_r23,a2_r24,a3_r1,a3_r2,a3_r3,a3_r4,a3_r5,a3_r6,a3_r7,a3_r8,a3_r9,a3_r10,a3_r11,a3_r12,a3_r13,a3_r14,a3_r15,a3_r16,a3_r17,a3_r18,a3_r19,a3_r20,a3_r21,a3_r22,a3_r23,a3_r24,d1_r1,d1_r2,d1_r3,d1_r4,d1_r5,d1_r6,d1_r7,d1_r8,d1_r9,d1_r10,d1_r11,d1_r12,d1_r13,d1_r14,d1_r15,d1_r16,d1_r17,d1_r18,d1_r19,d1_r20,d1_r21,d1_r22,d1_r23,d1_r24,d2_r1,d2_r2,d2_r3,d2_r4,d2_r5,d2_r6,d2_r7,d2_r8,d2_r9,d2_r10,d2_r11,d2_r12,d2_r13,d2_r14,d2_r15,d2_r16,d2_r17,d2_r18,d2_r19,d2_r20,d2_r21,d2_r22,d2_r23,d2_r24,d3_r1,d3_r2,d3_r3,d3_r4,d3_r5,d3_r6,d3_r7,d3_r8,d3_r9,d3_r10,d3_r11,d3_r12,d3_r13,d3_r14,d3_r15,d3_r16,d3_r17,d3_r18,d3_r19,d3_r20,d3_r21,d3_r22,d3_r23,d3_r24,rt_a1_r1,rt_a1_r2,rt_a1_r3,rt_a1_r4,rt_a1_r5,rt_a1_r6,rt_a1_r7,rt_a1_r8,rt_a1_r9,rt_a1_r10,rt_a1_r11,rt_a1_r12,rt_a1_r13,rt_a1_r14,rt_a1_r15,rt_a1_r16,rt_a1_r17,rt_a1_r18,rt_a1_r19,rt_a1_r20,rt_a1_r21,rt_a1_r22,rt_a1_r23,rt_a1_r24,rt_a2_r1,rt_a2_r2,rt_a2_r3,rt_a2_r4,rt_a2_r5,rt_a2_r6,rt_a2_r7,rt_a2_r8,rt_a2_r9,rt_a2_r10,rt_a2_r11,rt_a2_r12,rt_a2_r13,rt_a2_r14,rt_a2_r15,rt_a2_r16,rt_a2_r17,rt_a2_r18,rt_a2_r19,rt_a2_r20,rt_a2_r21,rt_a2_r22,rt_a2_r23,rt_a2_r24,rt_a3_r1,rt_a3_r2,rt_a3_r3,rt_a3_r4,rt_a3_r5,rt_a3_r6,rt_a3_r7,rt_a3_r8,rt_a3_r9,rt_a3_r10,rt_a3_r11,rt_a3_r12,rt_a3_r13,rt_a3_r14,rt_a3_r15,rt_a3_r16,rt_a3_r17,rt_a3_r18,rt_a3_r19,rt_a3_r20,rt_a3_r21,rt_a3_r22,rt_a3_r23,rt_a3_r24,rt_d1_r1,rt_d1_r2,rt_d1_r3,rt_d1_r4,rt_d1_r5,rt_d1_r6,rt_d1_r7,rt_d1_r8,rt_d1_r9,rt_d1_r10,rt_d1_r11,rt_d1_r12,rt_d1_r13,rt_d1_r14,rt_d1_r15,rt_d1_r16,rt_d1_r17,rt_d1_r18,rt_d1_r19,rt_d1_r20,rt_d1_r21,rt_d1_r22,rt_d1_r23,rt_d1_r24,rt_d2_r1,rt_d2_r2,rt_d2_r3,rt_d2_r4,rt_d2_r5,rt_d2_r6,rt_d2_r7,rt_d2_r8,rt_d2_r9,rt_d2_r10,rt_d2_r11,rt_d2_r12,rt_d2_r13,rt_d2_r14,rt_d2_r15,rt_d2_r16,rt_d2_r17,rt_d2_r18,rt_d2_r19,rt_d2_r20,rt_d2_r21,rt_d2_r22,rt_d2_r23,rt_d2_r24,rt_d3_r1,rt_d3_r2,rt_d3_r3,rt_d3_r4,rt_d3_r5,rt_d3_r6,rt_d3_r7,rt_d3_r8,rt_d3_r9,rt_d3_r10,rt_d3_r11,rt_d3_r12,rt_d3_r13,rt_d3_r14,rt_d3_r15,rt_d3_r16,rt_d3_r17,rt_d3_r18,rt_d3_r19,rt_d3_r20,rt_d3_r21,rt_d3_r22,rt_d3_r23,rt_d3_r24
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3202,1908,2098,4300,1842,2964,2268,2466,1781,2045,2156,1727,1476,2698,4827,2617,2630,1768,1464,2730,1952,2499,2980,2058,4941,4620,1808,1945,1474,1906,2491,2033,2054,2673,1646,1566,1546,1478,1564,1807,1992,2444,1061,6521,2630,1529,1607,3199,3295,2512,2254,2035,2773,2481,3818,3137,2235,1988,1858,2328,2195,2231,2226,1834,2299,1746,1941,3044,2189,2234,1908,2753,5251,3144,916,1032,954,982,1137,1330,2166,854,867,1751,1056,1419,735,899,792,1361,1335,898,769,1209,1091,1182,3837,2806,1606,6532,2910,2260,2468,3075,2530,1994,4814,2124,2464,2069,2235,2626,2301,1484,1209,1268,2335,1531,1076,747,735,1450,1215,1153,850,881,1274,768,812,937,757,1020,681,670,1673,1388,1620,982,958,2476,1214,1789,1553,786
2,0,1,3,2,13,0,0,11,15,0,10,13,13,16,17,0,10,11,0,13,0,11,11,13,0,11,0,11,15,0,11,11,0,11,15,11,11,16,0,13,20,0,0,13,13,13,13,0,0,13,13,13,13,0,14,11,0,18,17,0,20,18,0,13,14,0,0,16,13,12,20,0,0,0,16,18,15,18,2,12,17,12,8,17,18,18,20,17,8,10,15,10,15,9,15,10,8,18,11,16,14,13,14,5,13,14,10,12,13,8,13,10,15,13,8,10,13,10,14,13,8,8,12,9,15,14,10,13,14,10,9,14,13,5,15,10,10,12,12,12,12,12,12,9,10,10,9,10,5581,2106,2892,2615,3307,3359,3240,2862,3312,4574,2865,2472,3245,2485,1924,3092,5717,2819,2369,2895,2372,5947,1945,3367,10161,918,5191,6055,3007,5209,10138,5600,7752,10963,11111,2754,7208,1768,2799,3091,2912,8639,6575,2841,5736,6541,3865,2473,4220,1994,2463,3528,2146,2350,5484,4609,3126,3879,10311,5383,6298,1673,4559,1387,1619,5555,5188,2085,2899,2326,2703,2220,2628,4457,2816,10744,4960,1723,2085,2109,3791,5468,10201,5354,7779,6037,10342,2661,9892,6427,11816,5942,8638,2606,2580,11432,9809,9109,3103,3810,4594,5294,7513,3802,7693,3448,10492,8735,5946,7093,8322,5655,4951,5695,5725,4375,6974,9992,10710,7285,10062,5136,8881,11478,6568,3198,11231,7515,4587,2271,9746,4274,4904,8699,6019,3444,5606,6476,5984,1652,3279,4574,5823,3111
3,0,2,1,2,0,14,0,14,13,14,0,0,13,13,14,0,0,13,13,13,0,0,13,14,12,0,13,0,12,0,12,12,10,10,3,0,13,13,10,0,13,10,13,13,0,10,13,0,10,13,0,0,5,15,16,3,16,15,5,16,5,15,3,5,8,15,5,15,5,5,15,5,15,5,15,15,13,12,12,12,12,14,14,12,12,12,13,12,12,12,12,12,13,12,12,13,12,13,12,12,15,11,13,11,11,14,15,10,10,13,15,13,10,10,12,13,14,10,11,13,12,14,12,12,16,12,14,14,14,16,16,12,10,14,12,12,16,12,12,16,16,10,12,12,14,12,16,14,2442,1597,1780,1486,1412,1267,1754,1637,1658,1334,1252,1915,4732,2075,1408,1371,1446,1329,1578,1492,3525,1125,3431,1578,8939,1710,3286,4989,4918,2201,6929,1207,2431,2097,2128,1211,2398,2654,1972,1702,1032,2343,1906,1479,4155,3558,5356,1066,1705,2791,1671,723,1793,2336,2420,1643,2244,1694,1608,3233,2484,2072,1742,2113,795,1727,2045,2406,1483,1061,1682,2276,2513,1212,1033,1766,1056,1026,1161,1009,1096,1012,1339,1417,1039,980,1087,1190,1008,972,1434,903,1552,1056,985,2301,2069,900,1258,1010,1113,1433,1698,1876,1357,1532,1326,1316,1923,1561,1401,2118,1767,1622,1289,2725,2152,1525,1458,1083,2460,2992,2259,2303,1643,1440,1455,2147,1852,1305,1365,2984,1463,1282,1168,6961,2401,1511,1333,1294,1214,1007,1532,1332
4,0,3,2,2,0,0,5,5,6,0,5,0,6,0,5,0,6,0,5,0,5,5,0,6,0,0,5,0,0,0,5,0,8,0,6,0,8,0,6,0,0,0,6,0,0,0,0,0,0,0,10,0,0,0,6,0,5,0,5,0,8,0,5,0,0,0,6,0,7,7,0,0,0,0,8,0,5,3,3,4,4,5,4,6,6,7,6,7,5,5,7,3,7,7,6,6,6,5,4,6,6,3,4,3,3,3,3,4,4,2,6,4,6,4,4,2,4,2,4,4,4,4,4,2,10,5,10,5,5,10,5,5,5,5,15,5,10,5,10,5,5,10,5,10,10,5,5,5,1517,1654,1317,2578,2470,1001,1178,1004,1035,2018,838,1595,2233,989,1766,3709,2710,1843,897,1544,1685,925,2654,1507,2374,886,3396,677,1494,848,8330,1206,5170,1138,3776,941,1710,1143,4131,841,9188,935,921,1012,3007,822,11288,931,1302,1430,812,1174,1853,801,1739,954,5123,755,1973,922,1840,1043,1628,1436,1595,1724,1230,2615,1454,1408,2274,1263,4398,2914,1082,1334,1091,1481,1199,940,2545,1386,1409,2515,5656,5148,1580,1404,4982,1140,1344,1524,2151,1595,3133,1059,4500,880,3994,2082,3380,4516,3533,1576,1398,9128,1650,1181,1932,1879,4666,4208,1461,1693,1571,4914,1720,2908,1642,1955,2690,998,2818,938,1007,1851,1047,891,4629,1033,1805,1002,1585,1089,1518,973,8687,2674,1042,1424,1301,841,978,3280
5,1,1,3,2,15,12,10,15,15,13,5,5,0,1,1,0,7,0,1,7,0,1,6,0,0,4,0,0,18,14,17,8,6,0,7,0,0,13,4,0,0,3,0,3,6,1,6,0,0,5,0,3,11,5,12,7,0,0,0,0,0,5,0,0,5,0,0,3,0,0,5,0,0,5,0,0,5,5,5,10,10,10,5,4,3,1,5,5,3,4,3,2,4,3,3,3,3,5,3,1,5,4,4,19,18,15,10,5,5,3,8,6,5,6,2,3,8,3,2,6,2,0,6,2,5,5,5,14,13,12,8,8,4,2,8,5,5,4,3,3,4,3,2,3,1,4,1,0,5284,8284,4311,2343,2044,4362,6253,3935,2361,3844,5530,3090,3746,3943,3387,1035,1761,2916,6923,4460,2957,3640,3651,2605,7239,11300,5455,2962,6232,6700,4129,2137,4901,6579,5535,1750,2307,8265,2856,1930,6928,5140,5779,7128,2548,2490,4333,7354,7371,5037,9653,3666,3531,3722,4153,5946,3220,7301,2047,2160,1765,2037,1610,1198,1841,2009,5894,1767,1962,1960,2078,1634,2911,2379,2202,3807,2235,2104,1614,1685,1580,1279,3417,2710,2128,1820,3157,2929,6282,1690,2260,2199,2903,6610,2671,1485,4409,2204,4365,2123,2030,1479,1831,2643,968,3561,4342,819,1421,1058,857,1204,836,992,1187,757,1156,1061,1028,985,5012,4221,2892,3297,2834,6518,1884,2730,4035,3319,2009,3591,4200,4331,1848,4414,2937,3157,3292,5229,5542,4519,3174,2765
6,1,2,3,2,0,0,0,8,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,10,0,0,8,0,0,0,0,0,9,0,0,9,0,0,0,9,0,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0,10,0,0,9,8,0,0,9,0,10,0,0,0,0,0,6,0,0,0,0,12,10,7,6,10,10,6,5,7,7,5,8,10,7,9,10,10,8,8,8,9,3,8,10,15,12,9,8,8,11,9,8,12,10,9,9,1,9,10,9,10,9,9,8,11,9,8,13,11,5,5,6,11,15,6,3,11,10,8,10,9,11,8,11,10,10,0,5,11,10,8,10,4868,2589,1501,4092,4108,1975,1273,8490,5124,2591,1233,2439,2175,9681,2913,2017,6848,1380,1864,6708,1819,1658,4703,3659,3883,1965,1579,10109,2104,2118,2061,2097,1665,3077,1322,1662,1175,5275,4725,1492,2192,2460,1710,1582,1353,2071,1109,2181,3815,1219,1536,7673,8895,1519,1651,2086,11721,1827,1277,6646,1184,2745,1216,2413,2280,2436,1787,12481,1202,1209,3051,3852,6321,3750,3584,1888,3136,2670,2012,2949,2689,2110,1218,1274,2934,1488,2985,3454,4536,2601,3933,2514,2255,1022,2483,2126,1462,1303,899,766,746,1133,808,864,1261,2219,816,936,2912,1082,1496,984,2060,757,1061,1054,1542,735,923,1592,2127,1195,1046,994,1129,1874,932,1036,1318,1261,856,1580,1837,1172,1732,1198,6637,5079,8462,11586,1300,2967,7182,5043
8,1,1,3,1,0,10,10,18,20,20,20,0,0,15,0,13,14,0,0,0,13,0,0,12,18,0,13,0,6,0,6,9,0,10,6,16,0,0,8,0,0,7,0,0,6,0,0,6,0,0,9,0,0,0,7,10,12,12,14,0,0,10,0,0,0,10,0,0,0,0,0,10,0,10,0,9,12,10,12,10,12,13,16,17,10,8,10,15,12,12,12,10,12,12,10,10,12,12,12,12,8,1,6,8,10,12,13,14,10,8,9,12,8,6,7,7,1,7,9,5,11,0,6,7,0,6,10,16,16,16,16,16,4,0,10,4,2,15,4,0,0,16,0,0,0,10,0,10,2873,2480,1912,6679,2317,1633,1902,1573,1340,2533,1556,2233,4458,751,773,889,8054,6548,714,2238,4737,3964,2492,1679,4483,1479,1778,1579,1762,2180,1099,4832,1557,2101,1866,1538,1135,5636,3008,2221,2860,1995,1833,1481,1846,2112,1401,2562,657,3428,2169,1035,934,1007,1050,880,1025,2843,695,845,2666,973,1804,801,7178,1657,1804,1485,734,951,730,2332,2419,1817,1262,2180,2237,6786,5135,2989,4908,2181,2311,2532,1233,3441,5415,4299,1243,1756,2183,3576,3141,4534,3029,4087,4873,1064,844,958,3735,2533,1797,1527,1974,789,9140,3992,1908,2100,3448,7805,2031,9305,5348,3662,6253,3147,1528,2418,4251,916,1807,1618,2527,1761,1107,2505,2338,2005,3363,5583,3795,5058,2826,1234,1303,4118,773,1128,1572,1328,1352,1373
9,1,3,2,2,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,7,0,0,0,0,8,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,7,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0,0,0,0,0,10,10,7,7,8,5,6,8,7,6,5,8,6,7,6,7,6,8,7,7,7,6,7,7,15,12,10,8,7,7,6,8,8,6,6,8,6,5,6,6,8,9,8,6,6,5,7,6,12,11,9,8,8,7,6,9,8,7,6,8,7,6,7,6,7,8,7,7,6,6,8,6,3338,1982,1769,986,1854,1234,2542,10244,2598,1566,1468,2199,1053,1503,1629,1002,3199,1006,1104,1158,1984,975,828,1136,1889,588,1148,534,633,577,1760,608,607,4130,805,516,644,546,964,1223,2334,1564,548,730,570,601,537,607,3198,1904,1917,1823,1754,1865,1878,3451,1759,1929,1751,2003,2135,1563,1761,1946,2650,1689,1818,1969,1853,1823,2049,1826,2762,1714,794,841,1481,859,1060,894,822,1130,1012,1361,978,882,999,1662,1221,769,968,1191,999,852,831,882,4297,1285,1587,989,820,1560,1103,860,875,830,759,885,898,870,1002,1167,722,1234,912,890,765,773,745,794,1806,1674,860,916,1306,802,959,839,1037,970,836,1124,858,890,894,840,881,1018,807,1060,777,829,998,831
10,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,10,0,0,0,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,7,1,10,1,12,0,13,10,0,8,12,0,0,11,0,11,0,5,0,10,10,7,11,3,1,1,9,4,4,6,3,6,1,3,4,0,4,0,1,4,0,5,0,4,4,3,15,10,2,2,10,5,2,3,1,7,3,1,1,7,1,0,1,1,4,7,1,7,0,2,1179,1114,948,846,1012,1136,941,1004,896,875,1650,2078,1442,1229,1224,1488,1953,900,1038,894,945,908,1870,1252,1725,2037,1764,2938,1790,1444,2898,6592,6009,2362,1969,3322,3785,2599,1771,6035,5377,4213,4294,1902,2604,2355,2538,1909,2169,2004,3437,1805,1439,1330,1672,2568,2268,1970,2128,2704,2066,1509,1429,1329,1948,2213,1415,1728,2501,1851,1570,2511,3454,4070,1618,4731,4968,5202,2761,1202,1440,2323,925,1901,2604,1477,1177,1643,1248,1309,3887,10984,5022,6148,2083,5599,4866,2078,1570,1873,2445,993,931,1835,1218,1968,3490,3123,6859,4347,1555,2794,6715,1253,2506,1434,2270,2250,2608,1698,2892,2093,1576,1385,1664,2990,1408,1890,2227,2068,2339,1359,2280,2992,1143,1944,1600,1424,1818,1295,1411,1813,3015,1522
11,0,3,2,2,15,6,16,5,18,3,14,10,15,9,15,5,11,5,16,6,17,5,20,6,14,18,10,12,15,1,16,3,3,0,17,1,16,11,17,11,16,12,15,11,16,14,16,16,1,17,1,17,15,0,16,0,16,0,16,0,15,0,16,5,17,9,14,5,15,5,16,8,17,0,9,15,14,14,12,11,14,13,13,10,15,8,16,8,10,10,11,10,17,10,18,10,19,15,15,15,10,15,8,10,15,3,15,3,10,4,16,2,8,8,16,9,15,5,17,10,12,17,9,14,10,13,10,15,13,14,10,10,13,10,15,10,10,13,13,10,15,10,16,10,15,15,15,13,1703,10624,2948,4942,8219,1203,1334,1563,1861,1284,2042,3463,5641,1842,3425,4412,1987,2567,1634,1795,1786,2674,4457,1947,1491,959,994,958,12,1056,1183,697,2356,957,903,1055,843,941,1083,862,8727,1354,1416,3898,2867,2145,845,860,4741,1920,1290,1580,1847,1528,2345,1005,1535,1177,1267,2448,1235,4854,1210,1099,1289,1409,1164,858,1185,906,1795,2747,2085,1448,2400,2609,1732,1569,1153,1184,2443,1328,1472,795,1650,3012,1562,1919,1435,1610,1790,1557,1757,1471,1420,3803,6268,1704,9537,3427,5531,865,2289,3143,2193,2835,2191,4416,1242,728,2287,1325,3154,678,4488,2356,1149,6712,2702,10530,3430,3265,5722,1611,1931,2977,3332,3289,7396,2977,4162,3372,3087,1828,4997,9667,1526,2875,3867,2736,11790,3648,5721,2498
