num,a_le,a1_r1,a1_r2,a1_r3,a1_r4,a1_r5,a1_r6,a1_r7,a1_r8,a1_r9,a1_r10,a1_r11,a1_r12,a1_r13,a1_r14,a1_r15,a1_r16,a1_r17,a1_r18,a1_r19,a1_r20,a1_r21,a1_r22,a1_r23,a1_r24,a2_r1,a2_r2,a2_r3,a2_r4,a2_r5,a2_r6,a2_r7,a2_r8,a2_r9,a2_r10,a2_r11,a2_r12,a2_r13,a2_r14,a2_r15,a2_r16,a2_r17,a2_r18,a2_r19,a2_r20,a2_r21,a2_r22,a2_r23,a2_r24,a3_r1,a3_r2,a3_r3,a3_r4,a3_r5,a3_r6,a3_r7,a3_r8,a3_r9,a3_r10,a3_r11,a3_r12,a3_r13,a3_r14,a3_r15,a3_r16,a3_r17,a3_r18,a3_r19,a3_r20,a3_r21,a3_r22,a3_r23,a3_r24
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,13,0,0,11,15,0,10,13,13,16,17,0,10,11,0,13,0,11,11,13,0,11,0,11,15,0,11,11,0,11,15,11,11,16,0,13,20,0,0,13,13,13,13,0,0,13,13,13,13,0,14,11,0,18,17,0,20,18,0,13,14,0,0,16,13,12,20,0,0,0,16,18
3,1,0,14,0,14,13,14,0,0,13,13,14,0,0,13,13,13,0,0,13,14,12,0,13,0,12,0,12,12,10,10,3,0,13,13,10,0,13,10,13,13,0,10,13,0,10,13,0,0,5,15,16,3,16,15,5,16,5,15,3,5,8,15,5,15,5,5,15,5,15,5,15,15
4,2,0,0,5,5,6,0,5,0,6,0,5,0,6,0,5,0,5,5,0,6,0,0,5,0,0,0,5,0,8,0,6,0,8,0,6,0,0,0,6,0,0,0,0,0,0,0,10,0,0,0,6,0,5,0,5,0,8,0,5,0,0,0,6,0,7,7,0,0,0,0,8,0
5,3,15,12,10,15,15,13,5,5,0,1,1,0,7,0,1,7,0,1,6,0,0,4,0,0,18,14,17,8,6,0,7,0,0,13,4,0,0,3,0,3,6,1,6,0,0,5,0,3,11,5,12,7,0,0,0,0,0,5,0,0,5,0,0,3,0,0,5,0,0,5,0,0
6,3,0,0,0,8,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,10,0,0,8,0,0,0,0,0,9,0,0,9,0,0,0,9,0,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0,10,0,0,9,8,0,0,9,0,10,0,0,0,0,0,6,0,0,0,0
7,2,0,0,0,10,10,0,0,14,0,0,0,0,10,0,0,10,10,10,10,0,0,13,0,0,0,0,0,20,15,0,0,15,15,0,0,0,15,0,0,15,10,10,10,0,0,15,0,0,1,0,0,8,8,7,0,8,6,0,0,0,8,0,0,9,8,8,8,0,0,10,0,0
8,3,0,10,10,18,20,20,20,0,0,15,0,13,14,0,0,0,13,0,0,12,18,0,13,0,6,0,6,9,0,10,6,16,0,0,8,0,0,7,0,0,6,0,0,6,0,0,9,0,0,0,7,10,12,12,14,0,0,10,0,0,0,10,0,0,0,0,0,10,0,10,0,9
9,2,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,7,0,0,0,0,8,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,7,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0,0,0,0,0
10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,10,0,0,0,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
