num,rt_a1_r1,rt_a1_r2,rt_a1_r3,rt_a1_r4,rt_a1_r5,rt_a1_r6,rt_a1_r7,rt_a1_r8,rt_a1_r9,rt_a1_r10,rt_a1_r11,rt_a1_r12,rt_a1_r13,rt_a1_r14,rt_a1_r15,rt_a1_r16,rt_a1_r17,rt_a1_r18,rt_a1_r19,rt_a1_r20,rt_a1_r21,rt_a1_r22,rt_a1_r23,rt_a1_r24,rt_a2_r1,rt_a2_r2,rt_a2_r3,rt_a2_r4,rt_a2_r5,rt_a2_r6,rt_a2_r7,rt_a2_r8,rt_a2_r9,rt_a2_r10,rt_a2_r11,rt_a2_r12,rt_a2_r13,rt_a2_r14,rt_a2_r15,rt_a2_r16,rt_a2_r17,rt_a2_r18,rt_a2_r19,rt_a2_r20,rt_a2_r21,rt_a2_r22,rt_a2_r23,rt_a2_r24,rt_a3_r1,rt_a3_r2,rt_a3_r3,rt_a3_r4,rt_a3_r5,rt_a3_r6,rt_a3_r7,rt_a3_r8,rt_a3_r9,rt_a3_r10,rt_a3_r11,rt_a3_r12,rt_a3_r13,rt_a3_r14,rt_a3_r15,rt_a3_r16,rt_a3_r17,rt_a3_r18,rt_a3_r19,rt_a3_r20,rt_a3_r21,rt_a3_r22,rt_a3_r23,rt_a3_r24
1,3202,1908,2098,4300,1842,2964,2268,2466,1781,2045,2156,1727,1476,2698,4827,2617,2630,1768,1464,2730,1952,2499,2980,2058,4941,4620,1808,1945,1474,1906,2491,2033,2054,2673,1646,1566,1546,1478,1564,1807,1992,2444,1061,6521,2630,1529,1607,3199,3295,2512,2254,2035,2773,2481,3818,3137,2235,1988,1858,2328,2195,2231,2226,1834,2299,1746,1941,3044,2189,2234,1908,2753
2,5581,2106,2892,2615,3307,3359,3240,2862,3312,4574,2865,2472,3245,2485,1924,3092,5717,2819,2369,2895,2372,5947,1945,3367,10161,918,5191,6055,3007,5209,10138,5600,7752,10963,11111,2754,7208,1768,2799,3091,2912,8639,6575,2841,5736,6541,3865,2473,4220,1994,2463,3528,2146,2350,5484,4609,3126,3879,10311,5383,6298,1673,4559,1387,1619,5555,5188,2085,2899,2326,2703,2220
3,2442,1597,1780,1486,1412,1267,1754,1637,1658,1334,1252,1915,4732,2075,1408,1371,1446,1329,1578,1492,3525,1125,3431,1578,8939,1710,3286,4989,4918,2201,6929,1207,2431,2097,2128,1211,2398,2654,1972,1702,1032,2343,1906,1479,4155,3558,5356,1066,1705,2791,1671,723,1793,2336,2420,1643,2244,1694,1608,3233,2484,2072,1742,2113,795,1727,2045,2406,1483,1061,1682,2276
4,1517,1654,1317,2578,2470,1001,1178,1004,1035,2018,838,1595,2233,989,1766,3709,2710,1843,897,1544,1685,925,2654,1507,2374,886,3396,677,1494,848,8330,1206,5170,1138,3776,941,1710,1143,4131,841,9188,935,921,1012,3007,822,11288,931,1302,1430,812,1174,1853,801,1739,954,5123,755,1973,922,1840,1043,1628,1436,1595,1724,1230,2615,1454,1408,2274,1263
5,5284,8284,4311,2343,2044,4362,6253,3935,2361,3844,5530,3090,3746,3943,3387,1035,1761,2916,6923,4460,2957,3640,3651,2605,7239,11300,5455,2962,6232,6700,4129,2137,4901,6579,5535,1750,2307,8265,2856,1930,6928,5140,5779,7128,2548,2490,4333,7354,7371,5037,9653,3666,3531,3722,4153,5946,3220,7301,2047,2160,1765,2037,1610,1198,1841,2009,5894,1767,1962,1960,2078,1634
6,4868,2589,1501,4092,4108,1975,1273,8490,5124,2591,1233,2439,2175,9681,2913,2017,6848,1380,1864,6708,1819,1658,4703,3659,3883,1965,1579,10109,2104,2118,2061,2097,1665,3077,1322,1662,1175,5275,4725,1492,2192,2460,1710,1582,1353,2071,1109,2181,3815,1219,1536,7673,8895,1519,1651,2086,11721,1827,1277,6646,1184,2745,1216,2413,2280,2436,1787,12481,1202,1209,3051,3852
7,7243,3502,4488,7489,6700,6962,2661,5705,6712,3598,4785,5082,4600,3471,4901,2447,5451,8197,6350,4875,4194,5515,2822,2381,3291,2267,2675,6235,7604,10243,3309,2962,6990,1655,2387,2510,1825,2677,2115,4568,5961,7121,3286,1863,1972,2125,1860,2234,5664,2888,3159,2573,4881,7897,3050,6152,7796,2371,2293,2268,2093,3039,5081,4011,5827,5361,4036,3520,3197,4166,2711,2823
8,2873,2480,1912,6679,2317,1633,1902,1573,1340,2533,1556,2233,4458,751,773,889,8054,6548,714,2238,4737,3964,2492,1679,4483,1479,1778,1579,1762,2180,1099,4832,1557,2101,1866,1538,1135,5636,3008,2221,2860,1995,1833,1481,1846,2112,1401,2562,657,3428,2169,1035,934,1007,1050,880,1025,2843,695,845,2666,973,1804,801,7178,1657,1804,1485,734,951,730,2332
9,3338,1982,1769,986,1854,1234,2542,10244,2598,1566,1468,2199,1053,1503,1629,1002,3199,1006,1104,1158,1984,975,828,1136,1889,588,1148,534,633,577,1760,608,607,4130,805,516,644,546,964,1223,2334,1564,548,730,570,601,537,607,3198,1904,1917,1823,1754,1865,1878,3451,1759,1929,1751,2003,2135,1563,1761,1946,2650,1689,1818,1969,1853,1823,2049,1826
10,1179,1114,948,846,1012,1136,941,1004,896,875,1650,2078,1442,1229,1224,1488,1953,900,1038,894,945,908,1870,1252,1725,2037,1764,2938,1790,1444,2898,6592,6009,2362,1969,3322,3785,2599,1771,6035,5377,4213,4294,1902,2604,2355,2538,1909,2169,2004,3437,1805,1439,1330,1672,2568,2268,1970,2128,2704,2066,1509,1429,1329,1948,2213,1415,1728,2501,1851,1570,2511
11,1703,10624,2948,4942,8219,1203,1334,1563,1861,1284,2042,3463,5641,1842,3425,4412,1987,2567,1634,1795,1786,2674,4457,1947,1491,959,994,958,12,1056,1183,697,2356,957,903,1055,843,941,1083,862,8727,1354,1416,3898,2867,2145,845,860,4741,1920,1290,1580,1847,1528,2345,1005,1535,1177,1267,2448,1235,4854,1210,1099,1289,1409,1164,858,1185,906,1795,2747
12,2921,1743,1147,1955,3585,925,2331,5120,819,924,1499,1582,852,2975,708,1007,1128,684,2004,2490,2268,1996,736,2216,7444,10999,3804,10139,5539,5354,5093,6819,7694,5708,5669,7249,6668,5317,12304,3850,3383,2502,2573,1575,2976,2650,4363,2066,3205,2613,4379,1639,4396,1953,4172,2225,2119,1846,2041,4472,2885,9241,2962,2819,2417,4002,5508,2153,5471,2516,8420,3367
13,3403,3063,2648,6926,1536,8263,2685,2412,3703,2473,6430,2116,3062,2610,1127,2819,1568,2167,2528,1935,1067,2503,1998,1505,7664,1212,1918,790,3456,1485,889,3842,1118,1214,5016,4866,1895,996,2493,1368,1561,1483,4304,1185,2678,3496,5242,2411,2467,2135,2629,2850,3355,2684,7594,6052,6511,1852,3657,2261,2277,1880,2003,1898,3217,2566,2997,6952,5065,8143,2962,2306
14,3478,2784,2478,1918,1724,2917,1590,3210,3865,2528,4063,1815,3637,4600,1752,4122,3418,6529,3778,3108,4242,1967,3019,1644,4009,3220,1171,1021,5346,3031,3992,2875,3591,2580,2293,2397,3175,2600,2495,2118,3058,2864,8804,3096,2481,2127,2605,3090,2318,1208,1835,918,1851,5520,7803,4359,1412,4645,2357,1657,3472,6042,4770,5662,3499,5929,1131,5637,997,6480,2070,2738
15,4169,2088,1051,1817,1434,4558,3035,7664,2289,1179,2364,2387,3737,2208,1600,2782,922,1977,5465,6198,2766,8254,6239,4257,2432,970,1331,1319,1322,5311,1387,1309,2511,1339,1317,3478,3100,3741,4059,3556,6573,4026,4051,6631,1200,3936,3597,5956,1998,1591,974,1327,722,802,2127,714,2265,1898,1189,1916,849,2667,2628,744,1947,869,2071,6144,1664,1551,1567,3340
