num,type,d_le,a_le,gender,a1_r1,a2_r1,a3_r1,rt_a1_r1,rt_a2_r1,rt_a3_r1,a1_r2,a2_r2,a3_r2,rt_a1_r2,rt_a2_r2,rt_a3_r2,a1_r3,a2_r3,a3_r3,rt_a1_r3,rt_a2_r3,rt_a3_r3,a1_r4,a2_r4,a3_r4,rt_a1_r4,rt_a2_r4,rt_a3_r4,a1_r5,a2_r5,a3_r5,rt_a1_r5,rt_a2_r5,rt_a3_r5,a1_r6,a2_r6,a3_r6,rt_a1_r6,rt_a2_r6,rt_a3_r6,a1_r7,a2_r7,a3_r7,rt_a1_r7,rt_a2_r7,rt_a3_r7,a1_r8,a2_r8,a3_r8,rt_a1_r8,rt_a2_r8,rt_a3_r8,a1_r9,a2_r9,a3_r9,rt_a1_r9,rt_a2_r9,rt_a3_r9,a1_r10,a2_r10,a3_r10,rt_a1_r10,rt_a2_r10,rt_a3_r10,a1_r11,a2_r11,a3_r11,rt_a1_r11,rt_a2_r11,rt_a3_r11,a1_r12,a2_r12,a3_r12,rt_a1_r12,rt_a2_r12,rt_a3_r12,a1_r13,a2_r13,a3_r13,rt_a1_r13,rt_a2_r13,rt_a3_r13,a1_r14,a2_r14,a3_r14,rt_a1_r14,rt_a2_r14,rt_a3_r14,a1_r15,a2_r15,a3_r15,rt_a1_r15,rt_a2_r15,rt_a3_r15,a1_r16,a2_r16,a3_r16,rt_a1_r16,rt_a2_r16,rt_a3_r16,a1_r17,a2_r17,a3_r17,rt_a1_r17,rt_a2_r17,rt_a3_r17,a1_r18,a2_r18,a3_r18,rt_a1_r18,rt_a2_r18,rt_a3_r18,a1_r19,a2_r19,a3_r19,rt_a1_r19,rt_a2_r19,rt_a3_r19,a1_r20,a2_r20,a3_r20,rt_a1_r20,rt_a2_r20,rt_a3_r20,a1_r21,a2_r21,a3_r21,rt_a1_r21,rt_a2_r21,rt_a3_r21,a1_r22,a2_r22,a3_r22,rt_a1_r22,rt_a2_r22,rt_a3_r22,a1_r23,a2_r23,a3_r23,rt_a1_r23,rt_a2_r23,rt_a3_r23,a1_r24,a2_r24,a3_r24,rt_a1_r24,rt_a2_r24,rt_a3_r24
1,1,1,1,1,0,0,0,3202,4941,3295,0,0,0,1908,4620,2512,0,0,0,2098,1808,2254,0,0,0,4300,1945,2035,0,0,0,1842,1474,2773,0,0,0,2964,1906,2481,0,0,0,2268,2491,3818,0,0,0,2466,2033,3137,0,0,0,1781,2054,2235,0,0,0,2045,2673,1988,0,0,0,2156,1646,1858,0,0,0,1727,1566,2328,0,0,0,1476,1546,2195,0,0,0,2698,1478,2231,0,0,0,4827,1564,2226,0,0,0,2617,1807,1834,0,0,0,2630,1992,2299,0,0,0,1768,2444,1746,0,0,0,1464,1061,1941,0,0,0,2730,6521,3044,0,0,0,1952,2630,2189,0,0,0,2499,1529,2234,0,0,0,2980,1607,1908,0,0,0,2058,3199,2753
2,0,1,3,2,13,15,13,5581,10161,4220,0,0,0,2106,918,1994,0,11,14,2892,5191,2463,11,11,11,2615,6055,3528,15,0,0,3307,3007,2146,0,11,18,3359,5209,2350,10,15,17,3240,10138,5484,13,11,0,2862,5600,4609,13,11,20,3312,7752,3126,16,16,18,4574,10963,3879,17,0,0,2865,11111,10311,0,13,13,2472,2754,5383,10,20,14,3245,7208,6298,11,0,0,2485,1768,1673,0,0,0,1924,2799,4559,13,13,16,3092,3091,1387,0,13,13,5717,2912,1619,11,13,12,2819,8639,5555,11,13,20,2369,6575,5188,13,0,0,2895,2841,2085,0,0,0,2372,5736,2899,11,13,0,5947,6541,2326,0,13,16,1945,3865,2703,11,13,18,3367,2473,2220
3,0,2,1,2,0,12,5,2442,8939,1705,14,0,15,1597,1710,2791,0,12,16,1780,3286,1671,14,12,3,1486,4989,723,13,10,16,1412,4918,1793,14,10,15,1267,2201,2336,0,3,5,1754,6929,2420,0,0,16,1637,1207,1643,13,13,5,1658,2431,2244,13,13,15,1334,2097,1694,14,10,3,1252,2128,1608,0,0,5,1915,1211,3233,0,13,8,4732,2398,2484,13,10,15,2075,2654,2072,13,13,5,1408,1972,1742,13,13,15,1371,1702,2113,0,0,5,1446,1032,795,0,10,5,1329,2343,1727,13,13,15,1578,1906,2045,14,0,5,1492,1479,2406,12,10,15,3525,4155,1483,0,13,5,1125,3558,1061,13,0,15,3431,5356,1682,0,0,15,1578,1066,2276
4,0,3,2,2,0,0,0,1517,2374,1302,0,0,0,1654,886,1430,5,5,6,1317,3396,812,5,0,0,2578,677,1174,6,8,5,2470,1494,1853,0,0,0,1001,848,801,5,6,5,1178,8330,1739,0,0,0,1004,1206,954,6,8,8,1035,5170,5123,0,0,0,2018,1138,755,5,6,5,838,3776,1973,0,0,0,1595,941,922,6,0,0,2233,1710,1840,0,0,0,989,1143,1043,5,6,6,1766,4131,1628,0,0,0,3709,841,1436,5,0,7,2710,9188,1595,5,0,7,1843,935,1724,0,0,0,897,921,1230,6,0,0,1544,1012,2615,0,0,0,1685,3007,1454,0,0,0,925,822,1408,5,10,8,2654,11288,2274,0,0,0,1507,931,1263
5,1,1,3,2,15,18,11,5284,7239,7371,12,14,5,8284,11300,5037,10,17,12,4311,5455,9653,15,8,7,2343,2962,3666,15,6,0,2044,6232,3531,13,0,0,4362,6700,3722,5,7,0,6253,4129,4153,5,0,0,3935,2137,5946,0,0,0,2361,4901,3220,1,13,5,3844,6579,7301,1,4,0,5530,5535,2047,0,0,0,3090,1750,2160,7,0,5,3746,2307,1765,0,3,0,3943,8265,2037,1,0,0,3387,2856,1610,7,3,3,1035,1930,1198,0,6,0,1761,6928,1841,1,1,0,2916,5140,2009,6,6,5,6923,5779,5894,0,0,0,4460,7128,1767,0,0,0,2957,2548,1962,4,5,5,3640,2490,1960,0,0,0,3651,4333,2078,0,3,0,2605,7354,1634
6,1,2,3,2,0,0,0,4868,3883,3815,0,0,0,2589,1965,1219,0,0,0,1501,1579,1536,8,0,0,4092,10109,7673,8,9,10,4108,2104,8895,0,0,0,1975,2118,1519,0,0,0,1273,2061,1651,0,9,9,8490,2097,2086,0,0,8,5124,1665,11721,0,0,0,2591,3077,1827,0,0,0,1233,1322,1277,8,9,9,2439,1662,6646,0,0,0,2175,1175,1184,0,8,10,9681,5275,2745,0,0,0,2913,4725,1216,0,0,0,2017,1492,2413,0,0,0,6848,2192,2280,0,0,0,1380,2460,2436,0,0,0,1864,1710,1787,10,9,6,6708,1582,12481,0,0,0,1819,1353,1202,0,0,0,1658,2071,1209,8,0,0,4703,1109,3051,0,0,0,3659,2181,3852
8,1,1,3,1,0,6,0,2873,4483,657,10,0,0,2480,1479,3428,10,6,7,1912,1778,2169,18,9,10,6679,1579,1035,20,0,12,2317,1762,934,20,10,12,1633,2180,1007,20,6,14,1902,1099,1050,0,16,0,1573,4832,880,0,0,0,1340,1557,1025,15,0,10,2533,2101,2843,0,8,0,1556,1866,695,13,0,0,2233,1538,845,14,0,0,4458,1135,2666,0,7,10,751,5636,973,0,0,0,773,3008,1804,0,0,0,889,2221,801,13,6,0,8054,2860,7178,0,0,0,6548,1995,1657,0,0,0,714,1833,1804,12,6,10,2238,1481,1485,18,0,0,4737,1846,734,0,0,10,3964,2112,951,13,9,0,2492,1401,730,0,0,9,1679,2562,2332
9,1,3,2,2,0,0,0,3338,1889,3198,0,0,0,1982,588,1904,0,0,0,1769,1148,1917,0,0,0,986,534,1823,0,0,0,1854,633,1754,0,0,0,1234,577,1865,8,7,0,2542,1760,1878,0,0,0,10244,608,3451,0,0,0,2598,607,1759,0,0,0,1566,4130,1929,8,7,0,1468,805,1751,0,0,0,2199,516,2003,0,0,0,1053,644,2135,0,0,7,1503,546,1563,0,0,7,1629,964,1761,0,7,7,1002,1223,1946,7,7,7,3199,2334,2650,0,0,0,1006,1564,1689,0,0,0,1104,548,1818,0,0,0,1158,730,1969,0,0,0,1984,570,1853,8,8,0,975,601,1823,0,0,0,828,537,2049,0,0,0,1136,607,1826
10,1,1,2,2,0,0,0,1179,1725,2169,0,0,0,1114,2037,2004,0,0,0,948,1764,3437,0,11,0,846,2938,1805,0,0,0,1012,1790,1439,0,0,0,1136,1444,1330,0,0,0,941,2898,1672,0,0,0,1004,6592,2568,0,11,0,896,6009,2268,0,0,0,875,2362,1970,0,0,0,1650,1969,2128,0,0,0,2078,3322,2704,0,10,0,1442,3785,2066,0,0,0,1229,2599,1509,0,0,0,1224,1771,1429,0,0,0,1488,6035,1329,0,0,0,1953,5377,1948,0,10,0,900,4213,2213,0,10,0,1038,4294,1415,0,0,0,894,1902,1728,0,10,0,945,2604,2501,0,0,0,908,2355,1851,0,0,0,1870,2538,1570,0,0,0,1252,1909,2511
11,0,3,2,2,15,15,15,1703,1491,4741,6,1,0,10624,959,1920,16,16,16,2948,994,1290,5,3,0,4942,958,1580,18,3,16,8219,12,1847,3,0,0,1203,1056,1528,14,17,16,1334,1183,2345,10,1,0,1563,697,1005,15,16,15,1861,2356,1535,9,11,0,1284,957,1177,15,17,16,2042,903,1267,5,11,5,3463,1055,2448,11,16,17,5641,843,1235,5,12,9,1842,941,4854,16,15,14,3425,1083,1210,6,11,5,4412,862,1099,17,16,15,1987,8727,1289,5,14,5,2567,1354,1409,20,16,16,1634,1416,1164,6,16,8,1795,3898,858,14,1,17,1786,2867,1185,18,17,0,2674,2145,906,10,1,9,4457,845,1795,12,17,15,1947,860,2747
