num,rt_d1_r1,rt_d1_r2,rt_d1_r3,rt_d1_r4,rt_d1_r5,rt_d1_r6,rt_d1_r7,rt_d1_r8,rt_d1_r9,rt_d1_r10,rt_d1_r11,rt_d1_r12,rt_d1_r13,rt_d1_r14,rt_d1_r15,rt_d1_r16,rt_d1_r17,rt_d1_r18,rt_d1_r19,rt_d1_r20,rt_d1_r21,rt_d1_r22,rt_d1_r23,rt_d1_r24,rt_d2_r1,rt_d2_r2,rt_d2_r3,rt_d2_r4,rt_d2_r5,rt_d2_r6,rt_d2_r7,rt_d2_r8,rt_d2_r9,rt_d2_r10,rt_d2_r11,rt_d2_r12,rt_d2_r13,rt_d2_r14,rt_d2_r15,rt_d2_r16,rt_d2_r17,rt_d2_r18,rt_d2_r19,rt_d2_r20,rt_d2_r21,rt_d2_r22,rt_d2_r23,rt_d2_r24,rt_d3_r1,rt_d3_r2,rt_d3_r3,rt_d3_r4,rt_d3_r5,rt_d3_r6,rt_d3_r7,rt_d3_r8,rt_d3_r9,rt_d3_r10,rt_d3_r11,rt_d3_r12,rt_d3_r13,rt_d3_r14,rt_d3_r15,rt_d3_r16,rt_d3_r17,rt_d3_r18,rt_d3_r19,rt_d3_r20,rt_d3_r21,rt_d3_r22,rt_d3_r23,rt_d3_r24
1,5251,3144,916,1032,954,982,1137,1330,2166,854,867,1751,1056,1419,735,899,792,1361,1335,898,769,1209,1091,1182,3837,2806,1606,6532,2910,2260,2468,3075,2530,1994,4814,2124,2464,2069,2235,2626,2301,1484,1209,1268,2335,1531,1076,747,735,1450,1215,1153,850,881,1274,768,812,937,757,1020,681,670,1673,1388,1620,982,958,2476,1214,1789,1553,786
2,2628,4457,2816,10744,4960,1723,2085,2109,3791,5468,10201,5354,7779,6037,10342,2661,9892,6427,11816,5942,8638,2606,2580,11432,9809,9109,3103,3810,4594,5294,7513,3802,7693,3448,10492,8735,5946,7093,8322,5655,4951,5695,5725,4375,6974,9992,10710,7285,10062,5136,8881,11478,6568,3198,11231,7515,4587,2271,9746,4274,4904,8699,6019,3444,5606,6476,5984,1652,3279,4574,5823,3111
3,2513,1212,1033,1766,1056,1026,1161,1009,1096,1012,1339,1417,1039,980,1087,1190,1008,972,1434,903,1552,1056,985,2301,2069,900,1258,1010,1113,1433,1698,1876,1357,1532,1326,1316,1923,1561,1401,2118,1767,1622,1289,2725,2152,1525,1458,1083,2460,2992,2259,2303,1643,1440,1455,2147,1852,1305,1365,2984,1463,1282,1168,6961,2401,1511,1333,1294,1214,1007,1532,1332
4,4398,2914,1082,1334,1091,1481,1199,940,2545,1386,1409,2515,5656,5148,1580,1404,4982,1140,1344,1524,2151,1595,3133,1059,4500,880,3994,2082,3380,4516,3533,1576,1398,9128,1650,1181,1932,1879,4666,4208,1461,1693,1571,4914,1720,2908,1642,1955,2690,998,2818,938,1007,1851,1047,891,4629,1033,1805,1002,1585,1089,1518,973,8687,2674,1042,1424,1301,841,978,3280
5,2911,2379,2202,3807,2235,2104,1614,1685,1580,1279,3417,2710,2128,1820,3157,2929,6282,1690,2260,2199,2903,6610,2671,1485,4409,2204,4365,2123,2030,1479,1831,2643,968,3561,4342,819,1421,1058,857,1204,836,992,1187,757,1156,1061,1028,985,5012,4221,2892,3297,2834,6518,1884,2730,4035,3319,2009,3591,4200,4331,1848,4414,2937,3157,3292,5229,5542,4519,3174,2765
6,6321,3750,3584,1888,3136,2670,2012,2949,2689,2110,1218,1274,2934,1488,2985,3454,4536,2601,3933,2514,2255,1022,2483,2126,1462,1303,899,766,746,1133,808,864,1261,2219,816,936,2912,1082,1496,984,2060,757,1061,1054,1542,735,923,1592,2127,1195,1046,994,1129,1874,932,1036,1318,1261,856,1580,1837,1172,1732,1198,6637,5079,8462,11586,1300,2967,7182,5043
7,5954,5218,5627,1421,1373,1421,709,1267,6451,1335,1548,1329,1137,7079,8919,1337,4819,594,1097,1300,1361,5077,2670,1434,4118,1924,1136,3032,2161,3115,1595,1766,2988,2600,2059,4422,3424,2404,1500,2577,3143,2840,2773,1934,1761,2234,2699,5735,4990,3199,9133,2749,4330,5074,2908,5673,3570,2830,5940,2714,2429,3079,2558,2953,2668,3907,4272,2768,2731,4121,3941,3770
8,2419,1817,1262,2180,2237,6786,5135,2989,4908,2181,2311,2532,1233,3441,5415,4299,1243,1756,2183,3576,3141,4534,3029,4087,4873,1064,844,958,3735,2533,1797,1527,1974,789,9140,3992,1908,2100,3448,7805,2031,9305,5348,3662,6253,3147,1528,2418,4251,916,1807,1618,2527,1761,1107,2505,2338,2005,3363,5583,3795,5058,2826,1234,1303,4118,773,1128,1572,1328,1352,1373
9,2762,1714,794,841,1481,859,1060,894,822,1130,1012,1361,978,882,999,1662,1221,769,968,1191,999,852,831,882,4297,1285,1587,989,820,1560,1103,860,875,830,759,885,898,870,1002,1167,722,1234,912,890,765,773,745,794,1806,1674,860,916,1306,802,959,839,1037,970,836,1124,858,890,894,840,881,1018,807,1060,777,829,998,831
10,3454,4070,1618,4731,4968,5202,2761,1202,1440,2323,925,1901,2604,1477,1177,1643,1248,1309,3887,10984,5022,6148,2083,5599,4866,2078,1570,1873,2445,993,931,1835,1218,1968,3490,3123,6859,4347,1555,2794,6715,1253,2506,1434,2270,2250,2608,1698,2892,2093,1576,1385,1664,2990,1408,1890,2227,2068,2339,1359,2280,2992,1143,1944,1600,1424,1818,1295,1411,1813,3015,1522
11,2085,1448,2400,2609,1732,1569,1153,1184,2443,1328,1472,795,1650,3012,1562,1919,1435,1610,1790,1557,1757,1471,1420,3803,6268,1704,9537,3427,5531,865,2289,3143,2193,2835,2191,4416,1242,728,2287,1325,3154,678,4488,2356,1149,6712,2702,10530,3430,3265,5722,1611,1931,2977,3332,3289,7396,2977,4162,3372,3087,1828,4997,9667,1526,2875,3867,2736,11790,3648,5721,2498
12,3339,1149,1513,1335,1782,1277,1383,1427,1010,2145,1452,2546,1840,3991,1733,2854,1039,1863,2829,3943,2044,1387,1423,2412,5029,6195,1993,1029,3610,2379,2889,7369,2072,7088,2315,2688,1170,4063,2120,3118,1421,1926,1371,1846,1167,906,1084,914,1569,1336,1377,1358,1414,977,2378,988,760,1173,2904,1557,1880,1211,2711,1124,1007,1303,3213,1046,1067,874,1507,1212
13,7183,3567,1592,2939,1699,2799,3741,1308,2824,2351,2717,1485,2001,782,1494,712,891,810,3432,3119,2429,2144,1816,1190,2805,777,4864,1690,2518,900,1463,766,3225,819,3353,2668,817,4975,1482,1940,833,1432,1145,4995,1341,1188,877,1095,3015,2488,1761,1098,4867,1810,2952,2359,4668,3227,2882,2168,2309,1585,2142,2686,7179,1920,2519,1072,1597,989,6018,1349
14,8209,2126,1216,1308,1446,1478,1466,1463,1438,1308,839,739,1057,933,1289,1208,964,1436,874,946,5400,2011,1067,877,6566,2431,1359,2001,975,942,879,1063,1319,1151,1195,1301,1239,1566,1156,2169,1095,1498,1119,1364,1133,1218,2246,1146,3349,861,864,744,678,714,969,857,712,817,945,1398,790,951,5059,1377,912,1078,1506,882,1724,1445,1134,1390
15,3398,1895,2325,1589,787,774,1704,1801,1039,1159,2587,4359,3005,2913,8299,5638,3560,5712,3400,2162,4855,4095,5595,6115,2487,1047,2312,1716,943,1707,1344,3089,4357,3529,6267,2823,5216,2112,2102,1834,3588,5358,6099,9798,7497,2430,7771,3820,1978,1276,1420,890,1235,1426,3717,783,3369,1769,5535,4149,6991,1574,1199,4860,3789,4710,5332,6674,982,5025,1726,11267
16,11624,11524,12,5855,6332,3208,9289,12239,9091,6607,7834,4614,7327,3604,10454,6856,7968,2792,4046,2434,7236,6382,6976,5745,3736,2038,7155,2226,7837,6000,10603,3160,3515,2716,11832,2988,7405,9322,4149,7273,5682,8318,1863,3943,2280,5999,5002,7400,1000,915,2521,879,1308,1721,886,1346,1200,1091,1144,1994,1105,1080,1296,3119,2779,3673,1320,1151,1086,880,2861,1799
17,6596,3301,9446,6457,4885,12960,2969,4800,9506,6100,5208,10164,7464,6872,1809,3590,5841,11939,2755,6853,4279,11103,8240,9962,3050,1814,2142,2645,2221,2938,2847,2428,1886,3462,2367,2730,3076,2469,2866,2657,3078,9245,1745,2436,2873,2248,1979,2468,1752,1297,1521,1832,824,1611,12,1094,6748,1933,2109,1291,3909,2736,1323,1210,2500,1308,2237,8429,5749,1647,11795,3236
18,2137,2659,2419,2977,2426,3035,1611,2240,1752,7793,2246,5203,1512,2383,4672,1133,1722,11221,1498,1245,1398,2075,1297,1383,913,877,1499,1014,1189,1654,1000,909,1481,1347,803,2278,645,761,1685,1046,1484,767,1104,1579,1841,1477,1412,820,1446,775,1584,975,2619,907,794,887,854,1904,2013,1362,1602,1995,1012,2076,892,850,805,846,1814,2204,1905,2578
19,2147,1390,1699,1351,2709,4401,1095,1125,1850,5342,3093,1487,2447,3255,3925,2417,2539,2154,4122,2246,1836,2051,2554,1757,4412,3458,1750,4213,3595,8095,4892,2478,3604,5316,5619,2574,2729,1960,2500,2346,2123,2000,2222,3052,1763,3728,2134,3229,3118,1294,3927,2060,2544,4329,2759,2584,2946,2603,2892,1576,3041,2997,3060,5382,3786,2883,3809,5310,5684,3587,1372,4148
20,4484,975,1643,2313,1193,3071,1735,4193,7550,2643,1646,2819,5594,994,790,1562,1386,2183,996,1277,3339,2187,8170,1486,2808,1261,3773,4876,3996,1754,3414,4782,2696,4747,1592,2043,1606,5516,6767,3001,1127,2477,3094,2405,2393,2501,3423,3572,3728,881,1161,6983,3848,5333,8965,1156,871,2113,696,1116,851,2899,830,760,805,992,1118,4591,4101,8096,1791,1867
21,1005,963,1292,866,2697,1454,1725,1525,1272,1247,2112,2263,1445,6138,1417,3851,1933,1581,2271,857,4409,1416,5002,1568,8174,968,973,1183,876,1085,922,1190,976,3008,1013,1117,1952,1644,5124,2688,2283,4966,2493,6896,4939,3219,804,1015,1669,3223,1178,3902,6891,5699,6704,3652,6049,2293,7430,6713,6369,1622,3844,4586,5616,5716,8060,6848,3503,2241,1661,1448
