'num','gender'
1,1
2,2
3,2
4,2
5,2
6,2
7,1
8,1
9,2
10,2
11,2
12,2
13,2
14,1
15,1
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,1
24,1
25,1
26,2
27,2
28,1
29,2
30,2
32,2
33,1
34,2
35,1
36,2
37,1
38,2
39,2
40,1
41,2
42,2
43,1
44,2
45,1
46,2
47,1
48,2
49,2
50,2
51,1
52,2
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,2
65,2
66,1
67,1
68,2
69,1
70,2
71,1
72,1
73,2
74,2
75,1
76,1
77,1
78,1
79,2
80,2
81,2
82,2
83,2
84,1
85,2
86,1
