num,type,d_le,a_le,gender,d1_r1,d2_r1,d3_r1,rt_d1_r1,rt_d2_r1,rt_d3_r1,d1_r2,d2_r2,d3_r2,rt_d1_r2,rt_d2_r2,rt_d3_r2,d1_r3,d2_r3,d3_r3,rt_d1_r3,rt_d2_r3,rt_d3_r3,d1_r4,d2_r4,d3_r4,rt_d1_r4,rt_d2_r4,rt_d3_r4,d1_r5,d2_r5,d3_r5,rt_d1_r5,rt_d2_r5,rt_d3_r5,d1_r6,d2_r6,d3_r6,rt_d1_r6,rt_d2_r6,rt_d3_r6,d1_r7,d2_r7,d3_r7,rt_d1_r7,rt_d2_r7,rt_d3_r7,d1_r8,d2_r8,d3_r8,rt_d1_r8,rt_d2_r8,rt_d3_r8,d1_r9,d2_r9,d3_r9,rt_d1_r9,rt_d2_r9,rt_d3_r9,d1_r10,d2_r10,d3_r10,rt_d1_r10,rt_d2_r10,rt_d3_r10,d1_r11,d2_r11,d3_r11,rt_d1_r11,rt_d2_r11,rt_d3_r11,d1_r12,d2_r12,d3_r12,rt_d1_r12,rt_d2_r12,rt_d3_r12,d1_r13,d2_r13,d3_r13,rt_d1_r13,rt_d2_r13,rt_d3_r13,d1_r14,d2_r14,d3_r14,rt_d1_r14,rt_d2_r14,rt_d3_r14,d1_r15,d2_r15,d3_r15,rt_d1_r15,rt_d2_r15,rt_d3_r15,d1_r16,d2_r16,d3_r16,rt_d1_r16,rt_d2_r16,rt_d3_r16,d1_r17,d2_r17,d3_r17,rt_d1_r17,rt_d2_r17,rt_d3_r17,d1_r18,d2_r18,d3_r18,rt_d1_r18,rt_d2_r18,rt_d3_r18,d1_r19,d2_r19,d3_r19,rt_d1_r19,rt_d2_r19,rt_d3_r19,d1_r20,d2_r20,d3_r20,rt_d1_r20,rt_d2_r20,rt_d3_r20,d1_r21,d2_r21,d3_r21,rt_d1_r21,rt_d2_r21,rt_d3_r21,d1_r22,d2_r22,d3_r22,rt_d1_r22,rt_d2_r22,rt_d3_r22,d1_r23,d2_r23,d3_r23,rt_d1_r23,rt_d2_r23,rt_d3_r23,d1_r24,d2_r24,d3_r24,rt_d1_r24,rt_d2_r24,rt_d3_r24
1,1,1,1,1,13,10,10,5251,3837,735,8,7,10,3144,2806,1450,8,7,8,916,1606,1215,8,8,8,1032,6532,1153,8,8,8,954,2910,850,8,8,8,982,2260,881,8,8,8,1137,2468,1274,8,8,8,1330,3075,768,8,8,8,2166,2530,812,8,8,8,854,1994,937,8,8,8,867,4814,757,8,8,8,1751,2124,1020,8,8,8,1056,2464,681,8,8,8,1419,2069,670,8,8,8,735,2235,1673,8,8,8,899,2626,1388,8,8,8,792,2301,1620,8,8,8,1361,1484,982,8,8,8,1335,1209,958,8,8,8,898,1268,2476,8,8,8,769,2335,1214,8,8,8,1209,1531,1789,8,8,8,1091,1076,1553,8,8,8,1182,747,786
2,0,1,3,2,15,14,15,2628,9809,10062,18,13,14,4457,9109,5136,2,14,10,2816,3103,8881,12,5,13,10744,3810,11478,17,13,14,4960,4594,6568,12,14,10,1723,5294,3198,8,10,9,2085,7513,11231,17,12,14,2109,3802,7515,18,13,13,3791,7693,4587,18,8,5,5468,3448,2271,20,13,15,10201,10492,9746,17,10,10,5354,8735,4274,8,15,10,7779,5946,4904,10,13,12,6037,7093,8699,15,8,12,10342,8322,6019,10,10,12,2661,5655,3444,15,13,12,9892,4951,5606,9,10,12,6427,5695,6476,15,14,12,11816,5725,5984,10,13,9,5942,4375,1652,8,8,10,8638,6974,3279,18,8,10,2606,9992,4574,11,12,9,2580,10710,5823,16,9,10,11432,7285,3111
3,0,2,1,2,13,15,16,2513,2069,2460,12,11,12,1212,900,2992,12,13,14,1033,1258,2259,12,11,14,1766,1010,2303,12,11,14,1056,1113,1643,14,14,16,1026,1433,1440,14,15,16,1161,1698,1455,12,10,12,1009,1876,2147,12,10,10,1096,1357,1852,12,13,14,1012,1532,1305,13,15,12,1339,1326,1365,12,13,12,1417,1316,2984,12,10,16,1039,1923,1463,12,10,12,980,1561,1282,12,12,12,1087,1401,1168,12,13,16,1190,2118,6961,13,14,16,1008,1767,2401,12,10,10,972,1622,1511,12,11,12,1434,1289,1333,13,13,12,903,2725,1294,12,12,14,1552,2152,1214,13,14,12,1056,1525,1007,12,12,16,985,1458,1532,12,12,14,2301,1083,1332
4,0,3,2,2,5,6,10,4398,4500,2690,3,3,5,2914,880,998,3,4,10,1082,3994,2818,4,3,5,1334,2082,938,4,3,5,1091,3380,1007,5,3,10,1481,4516,1851,4,3,5,1199,3533,1047,6,4,5,940,1576,891,6,4,5,2545,1398,4629,7,2,5,1386,9128,1033,6,6,15,1409,1650,1805,7,4,5,2515,1181,1002,5,6,10,5656,1932,1585,5,4,5,5148,1879,1089,7,4,10,1580,4666,1518,3,2,5,1404,4208,973,7,4,5,4982,1461,8687,7,2,10,1140,1693,2674,6,4,5,1344,1571,1042,6,4,10,1524,4914,1424,6,4,10,2151,1720,1301,5,4,5,1595,2908,841,4,4,5,3133,1642,978,6,2,5,1059,1955,3280
5,1,1,3,2,5,5,5,2911,4409,5012,5,4,5,2379,2204,4221,5,4,5,2202,4365,2892,10,19,14,3807,2123,3297,10,18,13,2235,2030,2834,10,15,12,2104,1479,6518,5,10,8,1614,1831,1884,4,5,8,1685,2643,2730,3,5,4,1580,968,4035,1,3,2,1279,3561,3319,5,8,8,3417,4342,2009,5,6,5,2710,819,3591,3,5,5,2128,1421,4200,4,6,4,1820,1058,4331,3,2,3,3157,857,1848,2,3,3,2929,1204,4414,4,8,4,6282,836,2937,3,3,3,1690,992,3157,3,2,2,2260,1187,3292,3,6,3,2199,757,5229,3,2,1,2903,1156,5542,5,0,4,6610,1061,4519,3,6,1,2671,1028,3174,1,2,0,1485,985,2765
6,1,2,3,2,12,15,11,6321,1462,2127,10,12,5,3750,1303,1195,7,9,5,3584,899,1046,6,8,6,1888,766,994,10,8,11,3136,746,1129,10,11,15,2670,1133,1874,6,9,6,2012,808,932,5,8,3,2949,864,1036,7,12,11,2689,1261,1318,7,10,10,2110,2219,1261,5,9,8,1218,816,856,8,9,10,1274,936,1580,10,1,9,2934,2912,1837,7,9,11,1488,1082,1172,9,10,8,2985,1496,1732,10,9,11,3454,984,1198,10,10,10,4536,2060,6637,8,9,10,2601,757,5079,8,9,0,3933,1061,8462,8,8,5,2514,1054,11586,9,11,11,2255,1542,1300,3,9,10,1022,735,2967,8,8,8,2483,923,7182,10,13,10,2126,1592,5043
8,1,1,3,1,12,8,0,2419,4873,4251,10,1,6,1817,1064,916,12,6,10,1262,844,1807,10,8,16,2180,958,1618,12,10,16,2237,3735,2527,13,12,16,6786,2533,1761,16,13,16,5135,1797,1107,17,14,16,2989,1527,2505,10,10,4,4908,1974,2338,8,8,0,2181,789,2005,10,9,10,2311,9140,3363,15,12,4,2532,3992,5583,12,8,2,1233,1908,3795,12,6,15,3441,2100,5058,12,7,4,5415,3448,2826,10,7,0,4299,7805,1234,12,1,0,1243,2031,1303,12,7,16,1756,9305,4118,10,9,0,2183,5348,773,10,5,0,3576,3662,1128,12,11,0,3141,6253,1572,12,0,10,4534,3147,1328,12,6,0,3029,1528,1352,12,7,10,4087,2418,1373
9,1,3,2,2,10,15,12,2762,4297,1806,10,12,11,1714,1285,1674,7,10,9,794,1587,860,7,8,8,841,989,916,8,7,8,1481,820,1306,5,7,7,859,1560,802,6,6,6,1060,1103,959,8,8,9,894,860,839,7,8,8,822,875,1037,6,6,7,1130,830,970,5,6,6,1012,759,836,8,8,8,1361,885,1124,6,6,7,978,898,858,7,5,6,882,870,890,6,6,7,999,1002,894,7,6,6,1662,1167,840,6,8,7,1221,722,881,8,9,8,769,1234,1018,7,8,7,968,912,807,7,6,7,1191,890,1060,7,6,6,999,765,777,6,5,6,852,773,829,7,7,8,831,745,998,7,6,6,882,794,831
10,1,1,2,2,12,11,15,3454,4866,2892,2,3,10,4070,2078,2093,7,1,2,1618,1570,1576,1,1,2,4731,1873,1385,10,9,10,4968,2445,1664,1,4,5,5202,993,2990,12,4,2,2761,931,1408,0,6,3,1202,1835,1890,13,3,1,1440,1218,2227,10,6,7,2323,1968,2068,0,1,3,925,3490,2339,8,3,1,1901,3123,1359,12,4,1,2604,6859,2280,0,0,7,1477,4347,2992,0,4,1,1177,1555,1143,11,0,0,1643,2794,1944,0,1,1,1248,6715,1600,11,4,1,1309,1253,1424,0,0,4,3887,2506,1818,5,5,7,10984,1434,1295,0,0,1,5022,2270,1411,10,4,7,6148,2250,1813,10,4,0,2083,2608,3015,7,3,2,5599,1698,1522
11,0,3,2,2,14,10,10,2085,6268,3430,14,15,13,1448,1704,3265,12,8,10,2400,9537,5722,11,10,15,2609,3427,1611,14,15,13,1732,5531,1931,13,3,14,1569,865,2977,13,15,10,1153,2289,3332,10,3,10,1184,3143,3289,15,10,13,2443,2193,7396,8,4,10,1328,2835,2977,16,16,15,1472,2191,4162,8,2,10,795,4416,3372,10,8,10,1650,1242,3087,10,8,13,3012,728,1828,11,16,13,1562,2287,4997,10,9,10,1919,1325,9667,17,15,15,1435,3154,1526,10,5,10,1610,678,2875,18,17,16,1790,4488,3867,10,10,10,1557,2356,2736,19,12,15,1757,1149,11790,15,17,15,1471,6712,3648,15,9,15,1420,2702,5721,15,14,13,3803,10530,2498
